,Keywords,confidence,Date Start,Description of measure implemented,Implementing State/Province,Country,Source
2088,limited nonessential business closure,,2020-03-16,"restaurant, bars, shopping centres, cultural establishments and alike",,Spain,"Ministry of Foreign Affairs - France (Government, https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/espagne"
2091,blanket curfew - no symptoms,,2020-03-16,"Movement only allowed for: travel to make essential purchases (food, hygiene, health, first necessity), in strict compliance with basic precautionary measures; travel to his place of work and return to his usual place of residence; travel to access banking services; travel to provide care and assistance to vulnerable people; travel in cases of force majeure.; fines from 100 to 600.000 EUR",,Spain,"Ministry of Foreign Affairs - France (Government, https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/espagne"
2092,international travel ban - risk countries,,2020-03-15,"closure of Spanish land borders; only Spanish nationals, residents, diplomats, and cross-border workers are permitted enter Spain",,Spain,"Anadolu (Media, https://www.aa.com.tr/en/europe/coronavirus-spain-to-shut-land-borders-at-midnight/1768259"
2094,risk communication,,2020-03-15,Good practices,,Spain,"Euractiv (Media, https://www.euractiv.com/section/coronavirus/news/spain-in-absolute-quarantine-as-coronavirus-cases-rise-to-7700/"
2095,international travel ban - risk countries,,2020-03-23,"Closure of air,sea and land borders for 30 days (extension on land border closure on 17/03/2020)",,Spain,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS"
2097,limited nonessential business closure,,2020-03-24,Hotels and short-term stays required to close,,Spain,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS"
2098,hospital specialisation - partial,,2020-03-17,Exceptional measures to manage the development of clinical trials during the period of health crisis ,,Spain,"Government (Government, https://www.mscbs.gob.es/gabinete/notasPrensa.do?id=4819"
2099,economic stimulus,,2020-03-17,"Prohibition of the cutting of essential supplies for vulnerable tenants; e.g. water, electricity, gas",,Spain,"Government (Government, https://www.mscbs.gob.es/gabinete/notasPrensa.do?id=4817"
2100,hospital specialisation - partial,,2020-03-15,Retired health professionals and medical students should make themselves available,,Spain,"Government (Government, https://www.mscbs.gob.es/gabinete/notasPrensa.do?id=4812"
2101,hospital specialisation - partial,,2020-03-19,210 million EUR for the support of regional responses,,Spain,"Government (Government, https://www.mscbs.gob.es/gabinete/notasPrensa.do?id=4815"
2102,hospital specialisation - partial,,2020-12-03,"Budget of Ministry of Health reinforced by 1,000 million EUR",,Spain,"Government (Government, https://www.mscbs.gob.es/gabinete/notasPrensa.do?id=4809"
2103,economic stimulus,,2020-12-03,"Financial package to cover the needs of families and businesses (tax deferrals, liquidity loans, etc.) established",,Spain,"Government (Government, https://www.mscbs.gob.es/gabinete/notasPrensa.do?id=4809"
2105,risk communication,,2020-09-03,Businesses to shift to digital wherever possible,,Spain,"Government (Government, https://www.mscbs.gob.es/gabinete/notasPrensa.do?id=4806"
2106,risk communication,,2020-09-03,Vulnerable people and people with symptoms asked to remain at home,,Spain,"Government (Government, https://www.mscbs.gob.es/gabinete/notasPrensa.do?id=4806"
2108,blanket curfew - no symptoms,,2020-03-13,Some villages,Basque Country,Spain,"Ministry of Foreign Affairs - France (Government, https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/espagne"
2110,international travel ban - risk countries,,2020-03-16,"ban of entry for travellers arriving from Ital, Iran, South Korea, France, Germany, Spain, Sweden, Switzerland, Denmark, Netherlands, Austria, United Kingdom, Belgium, and Norway",,Sri Lanka,"US Embassy (Government, https://lk.usembassy.gov/covid-19-information/"
2111,international travel ban - risk countries,,2020-03-16,visas on arrival are suspended,,Sri Lanka,"US Embassy (Government, https://lk.usembassy.gov/covid-19-information/"
2112,international travel ban - risk countries,,2020-03-16,cruise ship passengers not allowed to disembark,,Sri Lanka,"US Embassy (Government, https://lk.usembassy.gov/covid-19-information/"
2113,international traveller screening - risk countries,,2020-03-16,thermal screenings,,Sri Lanka,"US Embassy (Government, https://lk.usembassy.gov/covid-19-information/"
2114,international traveller screening - risk countries,,2020-03-16,passengers have to fill out a health declaration upon entry,,Sri Lanka,"US Embassy (Government, https://lk.usembassy.gov/covid-19-information/"
2119,hospital specialisation - partial,,2020-03-18,The Navy has set up a quarantine centre at the Boossa naval premises to able to quarantine 136 people arriving from virus hit countries. Naval personnel have been trained by medical staff of the Karapitiya Teaching Hospital in quarantine procedures.,,Sri Lanka,"The Sunday Morning (Media, http://www.themorning.lk/navy-sets-up-quarantine-centre-in-boossa/?fbclid=IwAR0uMiv5QcZG9EKZzpWE_uqppekO8rgtYRsw2JqwjgBDih_SNOCxv3zw750"
2121,limited nonessential business closure,,2020-03-16,"The Government of Sri Lanka has declared a special three-day public holiday from Tuesday. The holiday will be effective from Tuesday, March 17 through Thursday March 19, the government announced. The special three-day holiday will be effective for departments, corporations and state institutions excluding health, food supply, transport, essential services, banking, District Secretariats and Divisional Secretariats.The government has requested the private sector to also grant the three-day holiday to workers.",,Sri Lanka,"Colombo Page (Media, http://www.colombopage.com/archive_20A/Mar17_1584386009CH.php"
2122,blanket curfew - no symptoms,,2020-03-20,Island wide curfew 6.00 pm today (March 20) until 6.00 am on Monday (March 23). imposed to stop the spread of Corona – quarantine centres increased to 22,,Sri Lanka,"News.lk (Media, https://news.lk/news/political-current-affairs/item/29806-island-wide-curfew-imposed-to-stop-the-spread-of-corona-quarantine-centres-increased-to-22"
2123,blanket curfew - no symptoms,,2020-03-21,The Police have arrested 30 persons for violating curfew,,Sri Lanka,"News.lk (Media, https://news.lk/news/political-current-affairs/item/29811-police-arrest-30-for-violating-curfew"
2124,economic stimulus,,2020-03-20,"he following concessions are also planned to ensure the sustainability of businesses in the travel, apparel and trade sectors affected by the new coronavirus: 1. Granting of six months grace period for repayment of loans obtained from banks and financial institutions, 2. Introduce flexible working hours especially in the IT and apparel sector and provide relief for payments for overtime and leave and 3. providing working capital requirements at an interest rate of 4%.",,Sri Lanka,"Colombo Page (Media, http://www.colombopage.com/archive_20A/Mar20_1584683741CH.php"
2125,economic stimulus,,2020-03-20,"The government is focusing on optimum returns taking into consideration the current trend in oil prices in the world market. Considering the views of the experts in the relevant fields, the following proposals are planned to be implemented.
Maintaining the current market oil prices with the objective of minimizing traffic congestion and facilitating the transportation of both public and private vehicles
Imposition of an import tax on the importation of petroleum to give the government a profit margin
Establishment of a Petroleum Stabilization Fund, using the savings from lower oil prices in the international market, and raising Rs. 200 billion over a period of six months
Payment of Rs. 50 billion to the Ceylon Electricity Board (CEB) in order to pay the debts owed to the Ceylon Petroleum Corporation (CPC) and thereby settle the debts owed by the Ceylon Petroleum Corporation to the Bank of Ceylon and the People's Bank
Taking into consideration the benefit of the reduction in the price of petroleum, supply of oil by CPC to the CEB at Rs. 70 per liter, thereby reducing the cost of thermal power generation by more than Rs. 30 billion settling bank loans and interest
Considering the prevailing drought in many parts of the country and the necessity of providing essential food at reasonable prices, arrangements have been made to reduce the maximum retail price of one kilogram of dhal to Rs. 65 and the maximum retail price of 425g of canned fish to Rs. 100.",,Sri Lanka,"Colombo Page (Media, http://www.colombopage.com/archive_20A/Mar20_1584683741CH.php"
2126,blanket curfew - no symptoms,,2020-03-20,"nearly 45,000 police officers have been deployed in the country for official duties. The police officers have been deployed to take immediate action against the curfew violators.Steps will be taken to seal the immovable property of the violators and seize the movable property",,Sri Lanka,"Colombo Page (Media, http://www.colombopage.com/archive_20A/Mar21_1584764773CH.php"
2127,hospital specialisation - partial,,2020-03-20,"China has pledged to donate 100,000 masks including 10,000 N95 masks and 20,000 test kits to Sri Lanka in the coming days. China’s Acting Ambassador Hu Wei has made this pledge when he met Sri Lanka’s Minister of Health Pavithra Wanniarachchi on Friday (March 20).",,Sri Lanka,"Colombo Page (Media, http://www.colombopage.com/archive_20A/Mar21_1584762514CH.php"
2128,coronavirus education activities,,2020-12-03,Media centre established for verified news alerts to combat fake news,,Sri Lanka,"News.lk (Media, https://news.lk/component/k2/item/29680-do-not-panic-focus-on-government-notices-media-centre-established-for-verified-news-alerts"
2129,limited nonessential business closure,,2020-03-20,All postal services have been suspended till further notice. All parcels and goods received from overseas will be retained at the Central Mail Exchange for the time being and will be distributed once the situation returns to normal,,Sri Lanka,"Colombo Page (Media, http://www.colombopage.com/archive_20A/Mar21_1584729437CH.php"
